Año,FPI (Nominal),Precio Brent,Mundo (Inflacion),Mundo (Natalidad)
1981,63.465373,35.9,12.442437,28.070906
1982,55.805967,33.0,10.221727,28.27682
1983,52.984896,29.6,8.669271,27.679348
1984,55.360952,28.7,8.08032,27.438374
1985,49.880608,27.5,6.8075666,27.440647
1986,48.742857,14.4,5.822667,27.556297
1987,50.297513,18.4,5.7101192,27.462473
1988,56.697748,15.0,7.1134067,26.983805
1989,59.616545,18.2,6.923905,26.477585
1990,63.01351,23.8,8.063461,26.052864
1991,62.063554,20.1,8.996939,25.466478
1992,63.934554,19.4,7.6361084,24.815857
1993,61.945179,17.1,7.144587,24.411858
1994,66.939256,16.0,10.247935,24.046057
1995,76.625411,17.2,9.077381,23.623793
1996,77.635011,20.8,6.526096,23.300701
1997,70.605499,19.1,5.55413,22.944878
1998,64.660389,12.8,5.0972915,22.504469
1999,55.169583,17.9,3.0419466,22.07133
2000,53.326348,28.4,3.4335155,21.841724
2001,54.964312,24.45,3.8365726,21.551352
2002,53.122296,25.01,2.9079986,21.241499
2003,57.792711,28.83,3.0250452,20.957716
2004,65.55358,38.1,3.517999,20.78855
2005,67.377129,54.38,4.1072507,20.611313
2006,72.563154,65.14,4.2671747,20.441013
2007,94.253549,72.52,4.810237,20.404379
2008,117.510642,96.99,8.949953,20.341188
2009,91.661322,61.51,2.8604486,20.163303
2010,106.743836,79.47,3.3263447,20.004532
2011,131.884416,111.26,4.8223963,20.119135
2012,122.840825,111.63,3.7253268,20.234095
2013,120.125169,108.56,2.6516733,19.728088
2014,115.028666,98.97,2.3544905,19.642982
2015,93.046913,52.32,1.4438572,19.112843
2016,91.924422,43.67,1.6055392,19.173895
2017,98.022859,54.25,2.2542765,18.7001
2018,95.916688,71.34,2.4503624,18.178806
2019,95.103956,64.3,2.206073,17.817698
2020,98.129793,41.96,1.9369413,17.226612
2021,125.728112,70.86,3.4669259,16.938656
