Año,Mundo (Natalidad)
1960,31.90838
1961,31.165344
1962,35.10331
1963,36.27461
1964,35.1318
1965,34.474213
1966,33.406895
1967,33.124992
1968,33.23908
1969,32.7475
1970,32.492256
1971,31.759794
1972,31.288465
1973,30.654806
1974,29.794636
1975,29.11531
1976,28.291016
1977,27.892857
1978,27.621279
1979,27.535168
1980,27.588644
1981,28.070906
1982,28.27682
1983,27.679348
1984,27.438374
1985,27.440647
1986,27.556297
1987,27.462473
1988,26.983805
1989,26.477585
1990,26.052864
1991,25.466478
1992,24.815857
1993,24.411858
1994,24.046057
1995,23.623793
1996,23.300701
1997,22.944878
1998,22.504469
1999,22.07133
2000,21.841724
2001,21.551352
2002,21.241499
2003,20.957716
2004,20.78855
2005,20.611313
2006,20.441013
2007,20.404379
2008,20.341188
2009,20.163303
2010,20.004532
2011,20.119135
2012,20.234095
2013,19.728088
2014,19.642982
2015,19.112843
2016,19.173895
2017,18.7001
2018,18.178806
2019,17.817698
2020,17.226612
2021,16.938656
